Entity,Year,GDP per capita
Israel,2020,32730.943
Israel,2021,34969.016
Israel,2022,36648.918
Italy,2010,34765.938
Italy,2011,35151
Italy,2012,34010.035
Italy,2013,33317.242
Italy,2014,33310.703
Italy,2015,33620.742
Italy,2016,34120.42
Italy,2017,34754.77
Italy,2018,35149.824
Italy,2019,35407.242
Italy,2020,32385.326
Italy,2021,34827.137
Italy,2022,36224.293
Japan,2010,35011.402
Japan,2011,34979
Japan,2012,35537.438
Japan,2013,36312.348
Japan,2014,36440.215
Japan,2015,37053.176
Japan,2016,37384.56
Japan,2017,38078.96
Japan,2018,38403.68
Japan,2019,38332.934
Japan,2020,36826.64
Japan,2021,37678.277
Japan,2022,38268.79
Latvia,2010,17140.227
Latvia,2011,18428
Latvia,2012,19970.031
Latvia,2013,20581.918
Latvia,2014,21168.535
Latvia,2015,22179.42
Latvia,2016,22913.023
Latvia,2017,23893.832
Latvia,2018,25039.865
Latvia,2019,25858.602
Latvia,2020,25453.064
Latvia,2021,26738.615
Latvia,2022,27220.303
Lithuania,2010,18663.762
Lithuania,2011,20243
Lithuania,2012,21305.004
Lithuania,2013,22285.684
Lithuania,2014,23273.172
Lithuania,2015,23968.848
Lithuania,2016,24886.84
Lithuania,2017,26318.023
Lithuania,2018,27631.46
Lithuania,2019,28986.053
Lithuania,2020,28971.844
Lithuania,2021,30557.03
Lithuania,2022,30863.32
Luxembourg,2011,54031
Luxembourg,2012,53675.46
Luxembourg,2013,53973.395
Luxembourg,2014,54100.086
Luxembourg,2015,54251.45
Luxembourg,2016,55516.098
Luxembourg,2017,55037.188
Luxembourg,2018,54625.96
Luxembourg,2019,54751.6
Luxembourg,2020,53489.332
Luxembourg,2021,55346.676
Luxembourg,2022,55484.777
Netherlands,2010,43812.348
Netherlands,2011,44591
Netherlands,2012,43968.254
Netherlands,2013,43782.97
Netherlands,2014,44245.56
Netherlands,2015,44912.664
Netherlands,2016,45654.47
Netherlands,2017,46706.438
Netherlands,2018,47528.902
Netherlands,2019,48142.67
Netherlands,2020,46014.484
Netherlands,2021,48001.84
Netherlands,2022,49669.867
New Zealand,2010,31586.09
New Zealand,2011,32057
New Zealand,2012,32714.732
New Zealand,2013,33109.26
New Zealand,2014,33591.32
New Zealand,2015,34248.477
New Zealand,2016,34879.938
New Zealand,2017,35573.965
New Zealand,2018,36420.047
New Zealand,2019,36912.074
New Zealand,2020,35853.69
New Zealand,2021,37837.457
New Zealand,2022,38250.12
Norway,2010,78476.15
Norway,2011,80623
Norway,2012,81725.22
Norway,2013,81564.3
Norway,2014,82311.33
Norway,2015,82983.99
Norway,2016,83213.016
Norway,2017,84600.71
Norway,2018,84739.92
Norway,2019,85115.32
Norway,2020,83543.1
Norway,2021,86334.59
Norway,2022,88366.22
Poland,2010,20608.693
Poland,2011,21837
Poland,2012,22169.826
Poland,2013,22378.305
Poland,2014,23247.818
Poland,2015,24285.14
Poland,2016,25020.621
Poland,2017,26310.113
Poland,2018,27880.836
Poland,2019,29142.023
Poland,2020,28577.14
Poland,2021,30687.662
Poland,2022,32468.402
Portugal,2010,25463.164
Portugal,2011,25133
Portugal,2012,24211.438
Portugal,2013,24119.96
Portugal,2014,24442.387
Portugal,2015,24983.701
Portugal,2016,25568.695
Portugal,2017,26529.986
Portugal,2018,27329.69
Portugal,2019,28056.057
Portugal,2020,25700.283
Portugal,2021,27138.479
Portugal,2022,28992.059
Romania,2010,16377.328
Romania,2011,17174
Romania,2012,17580.932
Romania,2013,17691.443
Romania,2014,18487.26
Romania,2015,19162.186
Romania,2016,19825.604
Romania,2017,23003.695
Romania,2018,24000.455
Romania,2019,23267.516
Romania,2020,24799.71
Romania,2021,26102.588
Romania,2022,26197.904
Serbia,2010,11963.555
Serbia,2011,12463
Serbia,2012,12438.256
Serbia,2013,12860.451
Serbia,2014,12717.727
Serbia,2015,13013.854
Serbia,2016,13518.949
Serbia,2017,13876.65
Serbia,2018,14579.859
Serbia,2019,15293.246
Serbia,2020,15256.421
Serbia,2021,16563.828
Serbia,2022,17097.686
South Korea,2010,31537.773
South Korea,2011,32225
South Korea,2012,32826.48
South Korea,2013,33711.656
South Korea,2014,34573.09
South Korea,2015,35357.52
South Korea,2016,36255.24
South Korea,2017,37296.047
South Korea,2018,38214.324
South Korea,2019,38935.992
South Korea,2020,38606.984
South Korea,2021,40277.953
South Korea,2022,41320.9
Spain,2010,31786.404
Spain,2011,31600
Spain,2012,30645.215
Spain,2013,30327.451
Spain,2014,30842.184
Spain,2015,32057.098
Spain,2016,33002.676
Spain,2017,33924.137
Spain,2018,34553.625
Spain,2019,34957.465
Spain,2020,30834.514
Spain,2021,32553.05
Spain,2022,34123.387
Sweden,2010,42634.754
Sweden,2011,42079
Sweden,2012,41523.145
Sweden,2013,41661.805
Sweden,2014,42346.836
Sweden,2015,43782.457
Sweden,2016,44131.03
Sweden,2017,44658.484
Sweden,2018,45003.492
Sweden,2019,45434.402
Sweden,2020,44128.332
Sweden,2021,46226.543
Sweden,2022,47126.13
Switzerland,2010,57219.5
Switzerland,2011,58686
Switzerland,2012,58750.938
Switzerland,2013,59120.062
Switzerland,2014,59775.54
Switzerland,2015,60070.867
Switzerland,2016,60647.64
Switzerland,2017,60903.223
Switzerland,2018,62185.477
Switzerland,2019,62448.598
Switzerland,2020,60521.26
Switzerland,2021,62595.31
Switzerland,2022,63323.254
United Kingdom,2010,34754.473
United Kingdom,2011,34971
United Kingdom,2012,35243.64
United Kingdom,2013,35660.56
United Kingdom,2014,36521.86
United Kingdom,2015,37101.227
United Kingdom,2016,37593.906
United Kingdom,2017,38283.938
United Kingdom,2018,38704.6
United Kingdom,2019,39113.01
United Kingdom,2020,34651.184
United Kingdom,2021,37134.33
United Kingdom,2022,38406.53
United States,2010,49266.914
United States,2011,49675
United States,2012,50436.434
United States,2013,51010.797
United States,2014,51796.62
United States,2015,52808.152
United States,2016,53301.016
United States,2017,54152.363
United States,2018,55454.668
United States,2019,56469.26
United States,2020,54379.207
United States,2021,57522.703
United States,2022,58487.465
